name,N
Люблино,3
Нижегородский,2
Тимирязевский,2
Бирюлёво Западное,2
Аэропорт,1
Сокол,1
Южное Тушино,1
Красносельский,1
Щукино,1
Митино,1
Царицыно,1
Ленинский городской округ,1
Москворечье-Сабурово,1
Басманный,1
Рязановское,1
Мещанский,1
Щербинка,1
Таганский,1
Южное Бутово,1
Текстильщики,1
Марьино,1
Покровское-Стрешнево,1
